iso3,ipc_rows,acled_admin2,acled_fallback,idp_admin2,idp_fallback,rain_admin2,rain_fallback
AFG,9695,1.3,70.2,1.3,57.3,1.9,70.8
AGO,742,0.0,0.0,0.0,0.0,39.6,45.3
BDI,2079,0.0,0.0,0.0,0.0,0.0,0.0
BEN,9194,0.0,0.0,3.9,7.7,80.0,92.1
BFA,5208,56.2,75.5,0.0,0.0,45.2,46.8
BGD,2009,0.0,0.0,11.5,15.7,62.4,87.5
CAF,13979,53.7,76.3,51.4,76.0,54.2,80.8
CIV,3350,0.0,0.0,0.0,0.0,0.0,34.6
CMR,7793,78.9,92.4,8.2,9.5,78.9,92.4
COD,23383,73.4,97.0,29.2,48.5,73.4,97.0
CPV,1639,0.0,0.0,0.0,0.0,0.0,35.1
DJI,1540,0.0,0.0,13.6,19.1,0.0,0.0
DOM,1764,0.0,0.0,0.0,0.0,9.5,9.5
ECU,350,0.0,0.0,0.0,0.0,0.0,96.0
ETH,5486,33.9,78.2,62.9,89.8,29.0,77.4
GHA,10451,0.0,0.0,0.0,0.0,62.5,83.0
GIN,3558,0.0,0.0,0.0,0.0,72.1,95.3
GMB,708,0.0,0.0,0.0,0.0,0.0,66.1
GNB,996,0.0,0.0,0.0,0.0,0.0,89.5
GTM,3276,0.0,0.0,0.0,3.0,0.0,95.1
HND,2527,0.0,0.0,0.0,6.6,1.1,88.6
HTI,5817,0.0,20.5,0.0,9.6,0.0,20.5
KEN,5208,0.0,0.0,0.0,7.1,0.0,18.8
LBN,1714,47.8,83.4,61.6,63.7,81.6,81.6
LBR,826,0.0,0.0,0.0,0.0,0.0,73.7
LSO,1694,0.0,0.0,0.0,0.0,0.0,0.0
MDG,8603,0.0,0.0,20.3,25.1,0.0,0.0
MLI,6811,40.7,60.8,26.5,43.1,39.2,59.4
MOZ,11805,72.8,90.0,24.9,50.6,75.6,93.4
MRT,7399,0.0,0.0,0.0,0.0,55.2,84.8
MWI,5072,0.0,0.0,6.6,17.5,96.8,96.8
NAM,2100,0.0,0.0,0.0,0.0,0.0,93.3
NER,9368,63.9,84.9,8.0,23.8,60.4,84.9
NGA,69064,86.2,91.1,46.3,54.9,84.2,91.1
PAK,4920,0.0,0.0,17.8,46.6,23.6,92.7
PSE,468,53.8,53.8,0.0,0.0,0.0,0.0
SDN,29489,85.4,99.5,57.8,80.5,70.4,93.9
SEN,6409,0.0,0.0,0.0,0.0,72.8,93.1
SLE,2555,0.0,0.0,0.0,0.0,59.7,80.8
SLV,812,0.0,0.0,0.0,15.5,0.0,91.4
SOM,71163,0.0,7.4,0.0,3.9,0.0,7.6
SSD,26414,83.1,95.0,61.9,86.1,84.0,97.4
SWZ,1393,0.0,0.0,0.0,0.0,0.0,22.1
TCD,11159,67.4,93.2,3.2,5.5,66.4,93.2
TGO,4247,0.0,0.0,0.0,0.0,64.2,90.5
TLS,420,0.0,0.0,0.0,0.0,0.0,93.3
TZA,1652,0.0,0.0,0.0,0.0,0.0,0.0
UGA,3507,0.0,0.0,9.6,33.1,59.5,62.3
YEM,23115,90.8,99.2,38.6,51.1,86.6,99.2
ZAF,616,0.0,0.0,0.0,0.0,0.0,20.5
ZMB,10126,0.0,0.0,3.8,4.8,78.5,98.8
ZWE,2898,0.0,0.0,15.7,27.1,87.0,98.6
