cell,feature_set,model,MAE,RMSE,R2,skill_vs_persistence,n
train_cur|eval_current,-,persistence,6.460301110930878,9.813229908266205,0.6097378382819265,0.0,8093
train_cur|eval_current,autoregressive,decision_tree,6.739074822463133,9.570891122442363,0.6287749710471477,-0.04315181393953409,8093
train_cur|eval_current,autoregressive,random_forest,6.7588766098819,9.596009437457461,0.6268238918846563,-0.04621696323811135,8093
train_cur|eval_current,autoregressive,xgboost,6.673357313500926,9.618052011712932,0.6251075097475589,-0.032979299093281435,8093
train_cur|eval_current,autoregressive,lightgbm,6.577562331902243,9.444044309439013,0.638549749289157,-0.01815104574196363,8093
train_cur|eval_current,drivers_only,decision_tree,8.99283225181948,12.71970880517722,0.34432770030678195,-0.39201441192942865,8093
train_cur|eval_current,drivers_only,random_forest,8.211651637692205,11.383041201973128,0.47489142070392765,-0.27109425655067815,8093
train_cur|eval_current,drivers_only,xgboost,8.246154021851495,11.243730256485119,0.4876658153316681,-0.2764349339536111,8093
train_cur|eval_current,drivers_only,lightgbm,8.272713612654503,11.244472132620636,0.48759820413223265,-0.28054613408916945,8093
train_cur|eval_current,nowcast,decision_tree,6.930137235842425,9.844667192064774,0.6072333755623256,-0.07272666038995931,8093
train_cur|eval_current,nowcast,random_forest,6.285452231370499,8.978375058406362,0.6733159092673827,0.027065128475905476,8093
train_cur|eval_current,nowcast,xgboost,6.248595956298222,8.94627323464799,0.6756478249723494,0.03277016829361863,8093
train_cur|eval_current,nowcast,lightgbm,6.189262032580524,8.872971040219026,0.6809412742484536,0.04195455810747794,8093
train_cur|eval_current,nowcast_change,decision_tree,7.077320519216013,10.0424999867099,0.5912891397503726,-0.09550938844648171,8093
train_cur|eval_current,nowcast_change,random_forest,6.196262909962267,8.849128413779761,0.6826536606175032,0.04087088147050239,8093
train_cur|eval_current,nowcast_change,xgboost,6.128985580003049,8.799762110743952,0.6861845207339339,0.05128484342118984,8093
train_cur|eval_current,nowcast_change,lightgbm,6.096686476087042,8.715972494448621,0.6921322481431207,0.056284471667829475,8093
train_all|eval_current,-,persistence,7.2706591620756535,10.913201374506995,0.5173449702338184,0.0,8093
train_all|eval_current,autoregressive,decision_tree,6.758613178251267,9.783666334637488,0.6120857227436063,0.07042634957986481,8093
train_all|eval_current,autoregressive,random_forest,6.779655434425282,9.851895101848504,0.606656428913119,0.06753221636512495,8093
train_all|eval_current,autoregressive,xgboost,6.672378220954807,9.759249961536465,0.6140194847485814,0.0822870289727689,8093
train_all|eval_current,autoregressive,lightgbm,6.634071834827043,9.72194052944688,0.616965036311875,0.08755565527938676,8093
train_all|eval_current,drivers_only,decision_tree,9.462275366571559,13.298368503565582,0.28331349846811993,-0.3014329451623249,8093
train_all|eval_current,drivers_only,random_forest,8.49827194027523,11.603231464136389,0.45437983854811903,-0.16884477058186184,8093
train_all|eval_current,drivers_only,xgboost,8.627912853441117,11.515578638157967,0.4625921213880614,-0.18667546657186307,8093
train_all|eval_current,drivers_only,lightgbm,8.671591563555692,11.526889387920441,0.4615359050379988,-0.19268299754545165,8093
train_all|eval_current,nowcast,decision_tree,7.195701088792344,10.206936878240489,0.5777950154382722,0.01030966678706342,8093
train_all|eval_current,nowcast,random_forest,6.274095910800566,9.134255974420412,0.6618737763670131,0.13706642397339192,8093
train_all|eval_current,nowcast,xgboost,6.024007858224024,8.877087589363494,0.6806451557117146,0.17146331248124835,8093
train_all|eval_current,nowcast,lightgbm,6.03119090967083,8.903895015116083,0.6787134393106855,0.17047536196855306,8093
train_all|eval_current,nowcast_change,decision_tree,7.057355214544102,10.055899505508552,0.5901977416966828,0.029337635388571415,8093
train_all|eval_current,nowcast_change,random_forest,6.060841451725417,8.814961420803467,0.6850995145736469,0.1663972527636481,8093
train_all|eval_current,nowcast_change,xgboost,5.929168791677142,8.634260544065686,0.6978776893838237,0.1845073934143184,8093
train_all|eval_current,nowcast_change,lightgbm,5.98814759983931,8.692010439829737,0.6938227085534743,0.17639550055186567,8093
train_all|eval_projection,-,persistence,5.047991468183434,6.930357953091659,0.8617645719588856,0.0,5626
train_all|eval_projection,autoregressive,decision_tree,5.817980685545794,7.794703921600502,0.8251332351691514,-0.15253377946762806,5626
