Country,MAE_global,R2_global,n_global,MAE_regional,R2_regional,n_regional,MAE_local,R2_local,n_local,MAE_cluster_kmeans,R2_cluster_kmeans,n_cluster_kmeans,MAE_cluster_hierarchical,R2_cluster_hierarchical,n_cluster_hierarchical,MAE_cluster_tfidf_kmeans,R2_cluster_tfidf_kmeans,n_cluster_tfidf_kmeans,MAE_cluster_tfidf_hdbscan,R2_cluster_tfidf_hdbscan,n_cluster_tfidf_hdbscan,MAE_cluster_emb_kmeans,R2_cluster_emb_kmeans,n_cluster_emb_kmeans,MAE_cluster_emb_hdbscan,R2_cluster_emb_hdbscan,n_cluster_emb_hdbscan
BEN,3.6838097268029264,-0.49115704983818076,380,3.5801915153076775,-0.4308941626780629,380.0,3.5661444731938996,-0.7295619460173721,380.0,3.522972890969954,-0.4253816242877684,380.0,3.4901571212630524,-0.38245893520720653,380.0,3.480141821346785,-0.35236933108122814,380,3.480141821346785,-0.35236933108122814,380.0,3.480141821346785,-0.35236933108122814,380,3.480141821346785,-0.35236933108122814,380
BFA,5.728587916919163,0.5588975192786023,84,5.47276064327785,0.5899344459356455,84.0,6.208842385382879,0.3757764391769538,84.0,,,,,,,5.587626865931919,0.5762154436864277,84,5.587626865931919,0.5762154436864277,84.0,5.587626865931919,0.5762154436864277,84,5.587626865931919,0.5762154436864277,84
BGD,7.7241042166045215,-1.9919822157910243,66,11.832029833938137,-4.092499015906933,66.0,,,,8.544721707701683,-2.0025894114600438,64.0,8.185401774942875,-2.353246619155679,64.0,8.777939073967211,-1.8473931606449572,66,,,,8.273623741034305,-2.2036781412582753,66,9.202340472828258,-2.364872287096024,66
CAF,8.53586138030629,0.1817943090054177,324,8.841242021984524,0.12579771148875585,324.0,9.810005600069776,-0.055582883330735466,324.0,9.369841754651672,0.1509311662682764,277.0,9.389552901367848,0.13216230892446357,277.0,8.905288036958671,0.1253255775273011,324,9.12517606476207,0.08986434877233929,324.0,9.827264644481518,-0.051784836197287465,324,9.811029916928138,-0.051636909419014554,324
CMR,4.380266132025883,0.39769225122409424,232,4.233144966949677,0.44189461225021975,232.0,3.9724704212155837,0.5140289935261182,232.0,4.161358867225976,0.43606764615505467,232.0,4.39273529217161,0.3871259455820043,232.0,3.914310894135771,0.5250592569483923,232,3.914310894135771,0.5250592569483923,232.0,3.914310894135771,0.5250592569483923,232,3.914310894135771,0.5250592569483923,232
COD,6.241742476850453,0.2644605341219344,505,6.530612372407819,0.18087412651166124,505.0,6.0898683647117995,0.23935743508709362,505.0,6.4628244688212275,0.2062909092821109,503.0,6.516082121885083,0.2050483639945191,503.0,6.616185575900691,0.1550736781341855,505,6.56192533285311,0.175563622900887,505.0,6.567207991722786,0.17357343084511168,505,6.054740137156873,0.26248190663325155,505
GHA,6.3792140501195735,-0.040652738800468935,275,6.052986967346885,0.04891423362331149,275.0,6.6977635096419945,-0.10771771377122463,275.0,6.688370347456498,-0.17728259675161762,275.0,6.632016122991389,-0.16443252569667965,275.0,6.059721401821483,0.06638508177039726,275,6.059721401821483,0.06638508177039726,275.0,6.059721401821483,0.06638508177039726,275,6.059721401821483,0.06638508177039726,275
GIN,5.347613152335672,-1.2905702572003768,34,4.594268371077145,-0.7343226333387036,34.0,4.090319626471576,-0.3230855254381244,34.0,4.484959391986623,-0.6072800710376229,34.0,4.338012730374055,-0.4909693982693031,34.0,4.353988927953384,-0.6018104771841573,34,4.353988927953384,-0.6018104771841573,34.0,4.353988927953384,-0.6018104771841573,34,4.353988927953384,-0.6018104771841573,34
LBN,9.121437853661137,-0.1080774028970517,69,,,,,,,,,,,,,8.852377801701643,0.048237428641543345,69,10.588656128316686,-0.31206108861111237,69.0,10.688893290533535,-0.2804492998024366,69,9.06534194946289,-0.042126831693190425,69
MLI,4.140615897609832,0.5142638487107424,188,3.476566150546708,0.6373652940032276,188.0,2.9569780436602047,0.6747336134982306,188.0,4.872442686352237,0.3647193000736322,116.0,4.455016659765408,0.5025918174670767,116.0,3.6642107870429754,0.6093318520082693,188,3.6642107870429754,0.6093318520082693,188.0,3.6642107870429754,0.6093318520082693,188,3.6642107870429754,0.6093318520082693,188
MOZ,11.894061734335763,-0.7213919947377252,175,9.805714889253888,-0.16223754545202462,175.0,10.263081562178476,-0.22841289581057422,175.0,9.56454681936716,-0.161702376524951,173.0,10.821099832567866,-0.48405454529181435,173.0,10.454545522928237,-0.2947027858126041,175,10.166949559620448,-0.2349520307846571,175.0,9.523337331116199,-0.13933603355532087,175,10.263081562178476,-0.22841289581057422,175
