,mean_abs_shap
lag1,9.167724
lag2,2.5821557
change_rain_3m,1.4143054
month_sin,0.90466493
month_cos,0.90342665
rain_3m,0.880388
idp_population_over_adm1_population,0.8274987
change_ndvi_vim,0.5905789
recent_trend,0.47484496
ndvi_viq,0.38203555
ndvi_vim,0.37062317
acled_political_violence_events_per_100k_population,0.3248945
acled_total_fatalities_per_100k_population,0.29039645
change_rain_anomaly_3m,0.24491164
change_idp_population_over_adm1_population,0.21909839
change_acled_political_violence_events_per_100k_population,0.21744779
rain_anomaly_3m,0.21350722
change_acled_total_fatalities_per_100k_population,0.19160591
change_ndvi_viq,0.17547435
change_wfp_price,0.14209476
wfp_price,0.14190342
wfp_inflation,0.113212675
change_gdelt_material_coop_events_per_100k_population,0.10203399
gdelt_verbal_conflict_events_per_100k_population,0.10159597
gdelt_material_coop_events_per_100k_population,0.07064857
change_gdelt_verbal_conflict_events_per_100k_population,0.06823106
change_wfp_inflation,0.06213324
