feature_set,model,MAE,R2,skill_vs_persistence
nowcast_change,xgboost,5.929168791677142,0.6978776893838237,0.1845073934143184
nowcast_change,lightgbm,5.98814759983931,0.6938227085534743,0.17639550055186567
nowcast,xgboost,6.024007858224024,0.6806451557117146,0.17146331248124835
nowcast,lightgbm,6.03119090967083,0.6787134393106855,0.17047536196855306
nowcast_change,random_forest,6.060841451725417,0.6850995145736469,0.1663972527636481
nowcast,random_forest,6.274095910800566,0.6618737763670131,0.13706642397339192
autoregressive,lightgbm,6.634071834827043,0.616965036311875,0.08755565527938676
autoregressive,xgboost,6.672378220954807,0.6140194847485814,0.0822870289727689
autoregressive,decision_tree,6.758613178251267,0.6120857227436063,0.07042634957986481
autoregressive,random_forest,6.779655434425282,0.606656428913119,0.06753221636512495
nowcast_change,decision_tree,7.057355214544102,0.5901977416966828,0.029337635388571415
nowcast,decision_tree,7.195701088792344,0.5777950154382722,0.01030966678706342
-,persistence,7.2706591620756535,0.5173449702338184,0.0
drivers_only,random_forest,8.49827194027523,0.45437983854811903,-0.16884477058186184
drivers_only,xgboost,8.627912853441117,0.4625921213880614,-0.18667546657186307
drivers_only,lightgbm,8.671591563555692,0.4615359050379988,-0.19268299754545165
drivers_only,decision_tree,9.462275366571559,0.28331349846811993,-0.3014329451623249
