country;adm1_pcode;region_name;hierarchical_features_no_coords;hierarchical_features_with_coords;kmeans_features_no_coords;kmeans_features_with_coords
AFG;AF01;Kabul;4;2;1;1
AFG;AF02;Kapisa;4;2;1;1
AFG;AF03;Parwan;4;2;1;1
AFG;AF04;Maidan Wardak;4;2;1;1
AFG;AF05;Logar;4;2;1;1
AFG;AF06;Nangarhar;4;2;1;1
AFG;AF07;Laghman;4;2;1;1
AFG;AF08;Panjsher;4;2;1;1
AFG;AF09;Baghlan;4;2;1;1
AFG;AF10;Bamyan;4;2;1;1
AFG;AF11;Ghazni;4;2;1;1
AFG;AF12;Paktika;4;2;1;1
AFG;AF13;Paktya;4;2;1;1
AFG;AF14;Khost;4;2;1;1
AFG;AF15;Kunar;4;2;1;1
AFG;AF16;Nuristan;4;2;1;1
AFG;AF17;Badakhshan;4;2;1;1
AFG;AF18;Takhar;4;2;1;1
AFG;AF19;Kunduz;4;2;1;1
AFG;AF20;Samangan;4;2;1;1
AFG;AF21;Balkh;4;2;1;1
AFG;AF22;Sar-e-Pul;4;2;1;1
AFG;AF23;Ghor;4;2;1;1
AFG;AF24;Daykundi;4;2;1;1
AFG;AF25;Uruzgan;4;2;1;1
AFG;AF26;Zabul;4;2;1;1
AFG;AF27;Kandahar;4;2;1;1
AFG;AF28;Jawzjan;4;2;1;1
AFG;AF29;Faryab;4;2;1;1
AFG;AF30;Hilmand;4;2;1;1
AFG;AF31;Badghis;4;2;1;1
AFG;AF32;Hirat;4;2;1;1
AFG;AF33;Farah;4;2;1;1
AFG;AF34;Nimroz;4;2;1;1
AGO;AO08;Cunene;4;4;2;0
AGO;AO09;Huíla;4;4;2;0
AGO;AO16;Namibe;4;4;1;1
BEN;BJ01;Alibori;3;4;2;0
BEN;BJ02;Atacora;3;4;2;0
BEN;BJ03;Atlantique;3;4;2;0
BEN;BJ04;Borgou;3;4;2;0
BEN;BJ05;Collines;3;4;2;0
BEN;BJ06;Couffo;3;4;2;0
BEN;BJ07;Donga;3;4;2;0
BEN;BJ08;Littoral;3;4;2;1
BEN;BJ09;Mono;3;4;2;0
BEN;BJ10;Oueme;3;4;2;0
BEN;BJ11;Plateau;3;4;2;0
BEN;BJ12;Zou;3;4;2;0
BFA;BF50;Nando;3;4;2;0
BGD;BD10;Barishal;3;4;2;0
BGD;BD20;Chattogram;1;1;2;0
BGD;BD30;Dhaka;3;4;2;0
BGD;BD40;Khulna;3;4;2;0
BGD;BD45;Mymensingh;3;4;2;0
BGD;BD50;Rajshahi;3;4;2;0
BGD;BD55;Rangpur;3;4;2;0
BGD;BD60;Sylhet;3;4;2;0
CAF;CF11;Ombella M'Poko;3;4;2;0
CAF;CF12;Lobaye;3;4;2;0
CAF;CF21;Mambéré-Kadéï;3;4;2;0
CAF;CF22;Nana-Mambéré;3;4;2;0
CAF;CF23;Sangha-Mbaéré;3;4;2;0
CAF;CF31;Ouham Pendé;3;4;2;0
CAF;CF32;Ouham;3;4;2;0
CAF;CF41;Kémo;3;4;2;0
CAF;CF42;Nana-Gribizi;3;4;2;0
CAF;CF43;Ouaka;3;4;2;0
CAF;CF51;Bamingui-Bangoran;3;4;0;0
CAF;CF52;Haute-Kotto;1;1;0;3
CAF;CF53;Vakaga;1;1;0;3
CAF;CF61;Basse-Kotto;3;4;2;0
