ISO3,ADM1_PCODE,Population
AGO,AO01,514519
AGO,AO02,3219181
AGO,AO03,2099472
AGO,AO04,1033067
AGO,AO05,770395
AGO,AO06,639667
AGO,AO07,2714946
AGO,AO08,1428380
AGO,AO10,2913578
AGO,AO09,3602984
AGO,AO11,10019983
AGO,AO12,1244409
AGO,AO13,775569
AGO,AO14,1423011
AGO,AO15,1094368
AGO,AO16,714604
AGO,AO17,2139670
AGO,AO18,857571
BGD,BD10,8110723
BGD,BD20,32593285
BGD,BD30,47312914
BGD,BD40,16132492
BGD,BD45,11809762
BGD,BD50,20150829
BGD,BD55,17363512
BGD,BD60,12176958
BEN,BJ01,1394508
BEN,BJ02,1049128
BEN,BJ03,2436165
BEN,BJ04,1985360
BEN,BJ05,930351
BEN,BJ06,1021944
BEN,BJ07,817837
BEN,BJ08,665209
BEN,BJ09,662296
BEN,BJ10,1643265
BEN,BJ11,917157
BEN,BJ12,1173832
BFA,BF46,2134167
BFA,BF47,950984
BFA,BF13,3646922
BFA,BF48,1798613
BFA,BF49,2147981
BFA,BF50,1878168
BFA,BF51,878419
BFA,BF52,2254547
BFA,BF53,2588993
BFA,BF54,1951702
BFA,BF55,1103485
BFA,BF56,1231509
BFA,BF57,993001
BDI,BDI001,550394
BDI,BDI017,1117744
BDI,BDI002,793547
BDI,BDI003,488215
BDI,BDI004,394519
BDI,BDI005,800783
BDI,BDI006,1053279
BDI,BDI007,696612
BDI,BDI008,864791
BDI,BDI009,1052885
BDI,BDI010,805459
BDI,BDI011,420081
BDI,BDI012,1116451
BDI,BDI013,396304
BDI,BDI014,1005916
BDI,BDI018,596159
BDI,BDI015,604204
BDI,BDI016,705352
CMR,CM001,1541773
CMR,CM002,5487640
CMR,CM003,1283771
CMR,CM004,5499116
CMR,CM005,4498867
CMR,CM006,3485916
CMR,CM007,2428174
CMR,CM008,2232838
CMR,CM009,885734
CMR,CM010,2098489
CPV,CV01,22034
CPV,CV02,5288
CPV,CV03,8024
CPV,CV04,9202
CPV,CV05,5147
CPV,CV06,16595
CPV,CV07,177456
CPV,CV08,6719
CPV,CV09,14903
CPV,CV10,8638
CPV,CV11,43878
CPV,CV12,48027
CPV,CV13,5169
