Date of analysis,Country,Total country population,Level 1,Area,Validity period,From,To,Phase,Number,Percentage,adm1_pcode,adm2_pcode
Oct-25,AFG,48595631,North Eastern Region,Badakhshan,current,01/09/2025,31/10/2025,3+,671809,0.4,AF17,AF17
Oct-25,AFG,48595631,North Eastern Region,Badakhshan,first projection,01/11/2025,31/03/2026,3+,755786,0.45,AF17,AF17
Oct-25,AFG,48595631,North Eastern Region,Badakhshan,second projection,01/04/2026,30/09/2026,3+,671810,0.4,AF17,AF17
Oct-25,AFG,48595631,North Eastern Region,Baghlan,current,01/09/2025,31/10/2025,3+,601580,0.35,AF09,AF09
Oct-25,AFG,48595631,North Eastern Region,Baghlan,first projection,01/11/2025,31/03/2026,3+,773460,0.45,AF09,AF09
Oct-25,AFG,48595631,North Eastern Region,Baghlan,second projection,01/04/2026,30/09/2026,3+,601580,0.35,AF09,AF09
Oct-25,AFG,48595631,North Eastern Region,Baghlan Urban,current,01/09/2025,31/10/2025,3+,73285,0.3,AF09,AF09
Oct-25,AFG,48595631,North Eastern Region,Baghlan Urban,first projection,01/11/2025,31/03/2026,3+,97713,0.4,AF09,AF09
Oct-25,AFG,48595631,North Eastern Region,Baghlan Urban,second projection,01/04/2026,30/09/2026,3+,73285,0.3,AF09,AF09
Oct-25,AFG,48595631,North Eastern Region,Kunduz,current,01/09/2025,31/10/2025,3+,307030,0.25,AF19,AF1901
Oct-25,AFG,48595631,North Eastern Region,Kunduz,first projection,01/11/2025,31/03/2026,3+,368436,0.3,AF19,AF1901
Oct-25,AFG,48595631,North Eastern Region,Kunduz,second projection,01/04/2026,30/09/2026,3+,307030,0.25,AF19,AF1901
Oct-25,AFG,48595631,North Eastern Region,Kunduz Urban,current,01/09/2025,31/10/2025,3+,52015,0.25,AF19,AF1901
Oct-25,AFG,48595631,North Eastern Region,Kunduz Urban,first projection,01/11/2025,31/03/2026,3+,62418,0.3,AF19,AF1901
Oct-25,AFG,48595631,North Eastern Region,Kunduz Urban,second projection,01/04/2026,30/09/2026,3+,72821,0.35,AF19,AF1901
Oct-25,AFG,48595631,North Eastern Region,Takhar,current,01/09/2025,31/10/2025,3+,548717,0.35,AF18,AF18
Oct-25,AFG,48595631,North Eastern Region,Takhar,first projection,01/11/2025,31/03/2026,3+,627105,0.4,AF18,AF18
Oct-25,AFG,48595631,North Eastern Region,Takhar,second projection,01/04/2026,30/09/2026,3+,548717,0.35,AF18,AF18
Oct-25,AFG,48595631,North Eastern Region,Takhar Urban,current,01/09/2025,31/10/2025,3+,87548,0.3,AF18,AF18
Oct-25,AFG,48595631,North Eastern Region,Takhar Urban,first projection,01/11/2025,31/03/2026,3+,116730,0.4,AF18,AF18
Oct-25,AFG,48595631,North Eastern Region,Takhar Urban,second projection,01/04/2026,30/09/2026,3+,102139,0.35,AF18,AF18
Oct-25,AFG,48595631,Western Region,Badghis,current,01/09/2025,31/10/2025,3+,250379,0.3,AF31,AF31
Oct-25,AFG,48595631,Western Region,Badghis,first projection,01/11/2025,31/03/2026,3+,333837,0.4,AF31,AF31
Oct-25,AFG,48595631,Western Region,Badghis,second projection,01/04/2026,30/09/2026,3+,250379,0.3,AF31,AF31
