Date of analysis,Country,Total country population,Level 1,Area,Validity period,From,To,adm1_pcode,adm2_pcode,phase_1_number,phase_1_percentage,phase_2_number,phase_2_percentage,phase_3_number,phase_3_percentage,phase_3plus_number,phase_3plus_percentage,phase_4_number,phase_4_percentage,phase_5_number,phase_5_percentage,phase_all_number,phase_all_percentage
May-17,AFG,29724323,Kunar,Kunar c_1,current,01/05/2017,31/07/2017,AF15,,39323,0.31,36786,0.29,34249,0.27,46934,0.37,12685,0.1,0,0,126848,1
May-17,AFG,29724323,Kunar,Kunar c_2,current,01/05/2017,31/07/2017,AF15,,79547,0.54,47139,0.32,13258,0.09,19150,0.13,5892,0.04,0,0,147309,1
May-17,AFG,29724323,Kunar,Kunar c_3,current,01/05/2017,31/07/2017,AF15,,30091,0.43,25893,0.37,5598,0.08,11196,0.16,5598,0.08,0,0,69980,1
May-17,AFG,29724323,Kunar,Kunar c_4,current,01/05/2017,31/07/2017,AF15,,44731,0.5,28628,0.32,7157,0.08,14314,0.16,7157,0.08,0,0,89461,1
May-17,AFG,29724323,Kunar,Kunar c_5,current,01/05/2017,31/07/2017,AF15,,14157,0.41,11740,0.34,4834,0.14,7251,0.21,2417,0.07,0,0,34529,1
May-17,AFG,29724323,Laghman,Laghman c_1,current,01/05/2017,31/07/2017,AF07,,79238,0.33,120058,0.5,19209,0.08,36017,0.15,16808,0.07,0,0,240115,1
May-17,AFG,29724323,Laghman,Laghman c_2,current,01/05/2017,31/07/2017,AF07,,29632,0.25,43855,0.37,29632,0.25,42670,0.36,13038,0.11,0,0,118527,1
May-17,AFG,29724323,Laghman,Laghman c_3,current,01/05/2017,31/07/2017,AF07,,55417,0.39,31261,0.22,35524,0.25,52576,0.37,17052,0.12,0,0,142096,1
May-17,AFG,29724323,Nangarhar,Nangarhar c_1,current,01/05/2017,31/07/2017,AF06,,127449,0.32,195157,0.49,27880,0.07,67708,0.17,39828,0.1,0,0,398279,1
May-17,AFG,29724323,Nangarhar,Nangarhar c_2,current,01/05/2017,31/07/2017,AF06,,25340,0.25,39530,0.39,25340,0.25,35476,0.35,10136,0.1,0,0,101358,1
May-17,AFG,29724323,Nangarhar,Nangarhar c_3,current,01/05/2017,31/07/2017,AF06,,111468,0.4,55734,0.2,78028,0.28,108682,0.39,30654,0.11,0,0,278670,1
May-17,AFG,29724323,Nangarhar,Nangarhar c_4,current,01/05/2017,31/07/2017,AF06,,50031,0.33,63675,0.42,18193,0.12,36386,0.24,18193,0.12,0,0,151608,1
May-17,AFG,29724323,Nangarhar,Nangarhar c_5,current,01/05/2017,31/07/2017,AF06,,110001,0.35,144573,0.46,31429,0.1,53429,0.17,22000,0.07,0,0,314289,1
May-17,AFG,29724323,Nangarhar,Nangarhar c_6,current,01/05/2017,31/07/2017,AF06,,116991,0.4,70194,0.24,70194,0.24,99442,0.34,29248,0.1,0,0,292477,1
May-17,AFG,29724323,Nangarhar,Nangarhar c_7,current,01/05/2017,31/07/2017,AF06,,99165,0.32,151847,0.49,27890,0.09,49582,0.16,21692,0.07,0,0,309891,1
May-17,AFG,29724323,Nangarhar,Nangarhar c_8,current,01/05/2017,31/07/2017,AF06,,10505,0.22,14802,0.31,13847,0.29,20532,0.43,6685,0.14,0,0,47748,1
May-17,AFG,29724323,Nuristan,Nuristan c_1,current,01/05/2017,31/07/2017,AF16,,14373,0.35,20533,0.5,4107,0.1,5339,0.13,1232,0.03,0,0,41065,1
May-17,AFG,29724323,Nuristan,Nuristan c_2,current,01/05/2017,31/07/2017,AF16,,12504,0.3,12504,0.3,10420,0.25,15838,0.38,5418,0.13,0,0,41679,1
May-17,AFG,29724323,Nuristan,Nuristan c_3,current,01/05/2017,31/07/2017,AF16,,18096,0.4,19001,0.42,4072,0.09,7239,0.16,3167,0.07,0,0,45240,1
Sep-17,AFG,29724323,,Badakhshan,current,01/08/2017,30/11/2017,AF17,AF17,304816,0.31,334314,0.34,294983,0.3,344147,0.35,49164,0.05,0,0,983277,1
Sep-17,AFG,29724323,,Badghis,current,01/08/2017,30/11/2017,AF31,AF31,77090,0.15,128483,0.25,179876,0.35,308359,0.6,128483,0.25,0,0,513930,1
Sep-17,AFG,29724323,,Baghlan,current,01/08/2017,30/11/2017,AF09,AF09,342712,0.35,489589,0.5,97918,0.1,146877,0.15,48959,0.05,0,0,979178,1
Sep-17,AFG,29724323,,Balkh,current,01/08/2017,30/11/2017,AF21,AF2106,556836,0.4,584677,0.42,208813,0.15,250576,0.18,41763,0.03,0,0,1392089,1
Sep-17,AFG,29724323,,Bamyan,current,01/08/2017,30/11/2017,AF10,AF1001,64814,0.14,208329,0.45,124998,0.27,189812,0.41,64814,0.14,0,0,462954,1
Sep-17,AFG,29724323,,Daykundi,current,01/08/2017,30/11/2017,AF24,AF24,114216,0.24,109457,0.23,204637,0.43,252227,0.53,47590,0.1,0,0,475900,1
